  ID    epoch(MJD)       a(AU)            e             i(deg)         LAN(deg)      argperi(deg)       M(deg)
   23   64328        2.256000e+00    6.900000e-02    9.800000e-01    5.326000e+01    2.191100e+02    1.484787e+02
   24   64328        1.912000e+00    7.630000e-02    1.807000e+01    2.694700e+02    3.020900e+02    1.669942e+02
   25   64328        2.666000e+00    1.568000e-01    1.508000e+01    1.148400e+02    1.005300e+02    4.717565e+00
   26   64328        2.596000e+00    1.324000e-01    9.820000e+00    2.149300e+02    3.231000e+01    2.351831e+02
   27   64328        2.348000e+00    1.794000e-01    2.070000e+00    2.503800e+02    8.172000e+01    2.880346e+02
   28   64328        3.148000e+00    1.631000e-01    7.980000e+00    1.232300e+02    1.806000e+01    1.870514e+02
   29   64328        1.861000e+00    6.470000e-02    2.347000e+01    1.284400e+02    7.671000e+01    3.194369e+02
   30   64328        1.882000e+00    7.430000e-02    1.986000e+01    3.561700e+02    3.488400e+02    9.752649e+01
   31   64328        2.762000e+00    1.536000e-01    1.007000e+01    1.467900e+02    1.848100e+02    1.335533e+02
   32   64328        2.571000e+00    1.019000e-01    1.469000e+01    2.128400e+02    1.815900e+02    8.213346e+01
   33   64328        3.003000e+00    1.380000e-01    7.000000e+00    1.466000e+02    2.429100e+02    2.833563e+01
   34   64328        3.086000e+00    2.031000e-01    2.150000e+00    1.022700e+02    2.607800e+02    1.427513e+02
   35   64328        2.688000e+00    1.924000e-01    1.455000e+01    1.143900e+02    2.085300e+02    2.013469e+02
   36   64328        2.609000e+00    1.415000e-01    1.435000e+01    2.365500e+02    1.454800e+02    1.737483e+02
   37   64328        3.120000e+00    2.175000e-01    1.753000e+01    2.394700e+02    1.238800e+02    1.369115e+02
   38   64328        2.436000e+00    1.409000e-01    3.590000e+00    1.423400e+02    6.930000e+01    1.528412e+02
   39   64328        3.151000e+00    2.912000e-01    1.575000e+01    1.515000e+02    2.033200e+02    1.145706e+02
   40   64328        2.856000e+00    4.830000e-02    1.293000e+01    6.764000e+01    3.309000e+02    1.958211e+02
   41   64328        3.052000e+00    1.396000e-01    3.760000e+00    1.833600e+02    1.300100e+02    3.326959e+02
   42   64328        2.681000e+00    2.915000e-01    1.022000e+01    2.380300e+02    1.041700e+02    2.058455e+02
   43   64328        2.573000e+00    6.040000e-02    1.319000e+01    2.438200e+02    4.153000e+01    2.418215e+02
   44   64328        2.745000e+00    2.911000e-01    7.050000e+00    3.730000e+00    2.911200e+02    1.815291e+02
   45   64328        3.056000e+00    9.090000e-02    1.115000e+01    2.019000e+02    6.914000e+01    1.617331e+02
   46   64328        2.585000e+00    1.237000e-01    1.519000e+01    2.742200e+02    1.890000e+00    1.252908e+02
   47   64328        2.435000e+00    5.500000e-02    5.950000e+00    2.809900e+02    3.098000e+02    1.477044e+02
   48   64328        2.708000e+00    1.902000e-01    1.127000e+01    2.231000e+01    9.450000e+01    1.305590e+02
   49   64328        3.190000e+00    9.110000e-02    4.310000e+00    2.315900e+02    2.184300e+02    3.436834e+02
   50   64328        3.044000e+00    9.950000e-02    1.008000e+01    2.837100e+02    2.792600e+02    1.738877e+02
   51   64328        3.183000e+00    1.582000e-01    1.773000e+01    1.417900e+02    3.029300e+02    2.046687e+02
   52   64328        2.564000e+00    1.394000e-01    1.389000e+01    3.590000e+01    2.488300e+02    2.424398e+02
   53   64328        3.065000e+00    8.100000e-02    2.213000e+01    5.508000e+01    3.526400e+02    2.547163e+02
   54   64328        3.064000e+00    1.913000e-01    1.451000e+01    2.210000e+02    2.808400e+02    1.596335e+02
   55   64328        3.050000e+00    1.015000e-01    1.168000e+01    1.313500e+02    2.674700e+02    5.204931e+01
   56   64328        3.112000e+00    1.143000e-01    1.136000e+01    4.530000e+01    2.802200e+02    1.548662e+02
   57   64328        2.812000e+00    1.733000e-01    1.264000e+01    3.578900e+02    9.734000e+01    1.660279e+02
   58   64328        2.782000e+00    8.900000e-02    2.070000e+00    2.802900e+02    4.500000e+01    1.240879e+02
   59   64328        3.168000e+00    8.990000e-02    9.450000e+00    3.077900e+02    4.033000e+01    1.131969e+02
   60   64328        3.033000e+00    7.830000e-02    8.420000e+00    2.888200e+02    8.168000e+01    1.186533e+02
   61   64328        2.363000e+00    1.424000e-01    1.770000e+00    3.081200e+02    2.809300e+02    2.918324e+02
   62   64328        2.480000e+00    8.360000e-02    7.060000e+00    1.033000e+02    2.829000e+01    2.024920e+02
   63   64328        2.298000e+00    1.328000e-01    6.660000e+00    2.157000e+01    2.969500e+02    3.251672e+02
   64   64328        3.052000e+00    1.984000e-01    2.300000e+00    2.398700e+02    2.252600e+02    1.056159e+02
   65   64328        3.026000e+00    7.920000e-02    9.290000e+00    3.337400e+02    3.389600e+02    1.867967e+02
   66   64328        1.598000e+00    3.228000e-01    2.100000e+00    2.884000e+01    2.014800e+02    2.610124e+02
   67   64328        2.757000e+00    1.519000e-01    8.710000e+00    2.547200e+02    1.355900e+02    3.123494e+02
   68   64328        2.360000e+00    1.109000e-01    2.380000e+00    2.000400e+02    2.989400e+02    2.581759e+02
   69   64328        1.860000e+00    6.610000e-02    2.369000e+01    1.541700e+02    2.312300e+02    1.370475e+01
   70   64328        1.905000e+00    8.180000e-02    2.295000e+01    1.766100e+02    1.687800e+02    1.842468e+02
   71   64328        3.072000e+00    1.634000e-01    1.045000e+01    3.378500e+02    2.715100e+02    2.582852e+02
   72   64328        3.113000e+00    2.633000e-01    2.559000e+01    9.490000e+00    7.469000e+01    2.685945e+02
   73   64328        2.917000e+00    1.972000e-01    6.710000e+00    8.817000e+01    2.492700e+02    2.245793e+02
   74   64328        2.574000e+00    1.417000e-01    6.280000e+00    2.272000e+02    2.361800e+02    7.177140e+01
   75   64328        2.448000e+00    1.261000e-01    7.210000e+00    8.268000e+01    2.056200e+02    2.950709e+02
   76   64328        2.418000e+00    1.366000e-01    2.250000e+00    1.297900e+02    2.424000e+02    2.745626e+02
   77   64328        2.720000e+00    1.259000e-01    3.620000e+00    1.257500e+02    1.034900e+02    1.218689e+02
   78   64328        2.574000e+00    2.914000e-01    1.218000e+01    9.590000e+00    5.230000e+01    2.061140e+01
   79   64328        3.107000e+00    5.930000e-02    1.364000e+01    1.381500e+02    2.200900e+02    1.878393e+02
   80   64328        3.118000e+00    9.860000e-02    9.790000e+00    1.778200e+02    2.673500e+02    1.769608e+02
   81   64328        2.226000e+00    1.893000e-01    4.480000e+00    3.466900e+02    3.586800e+02    1.225332e+02
   82   64328        3.114000e+00    1.888000e-01    1.965000e+01    6.789000e+01    3.420100e+02    1.939831e+02
   83   64328        2.767000e+00    9.930000e-02    1.800000e+00    6.044000e+01    2.320700e+02    3.534493e+02
   84   64328        3.221000e+00    5.960000e-02    8.520000e+00    3.569800e+02    1.440600e+02    1.264626e+02
   85   64328        2.623000e+00    1.218000e-01    1.481000e+01    1.077400e+02    1.677000e+01    3.301120e+00
   86   64328        3.047000e+00    7.430000e-02    1.776000e+01    1.128700e+02    3.262500e+02    1.512370e+02
   87   64328        2.263000e+00    1.701000e-01    7.350000e+00    3.806000e+01    2.499400e+02    1.217255e+01
   88   64328        2.525000e+00    1.128000e-01    4.830000e+00    2.393500e+02    2.152400e+02    2.339510e+02
   89   64328        3.112000e+00    2.939000e-01    1.251000e+01    2.487900e+02    1.185400e+02    2.377462e+02
   90   64328        2.758000e+00    1.477000e-01    1.260000e+01    2.562300e+02    1.545200e+02    1.671892e+02
   91   64328        2.685000e+00    2.279000e-01    9.930000e+00    2.937900e+02    8.302000e+01    3.251345e+02
   92   64328        3.011000e+00    1.227000e-01    2.000000e+00    3.210600e+02    2.649000e+02    2.889701e+02
   93   64328        2.985000e+00    1.795000e-01    9.460000e+00    3.792000e+01    9.638000e+01    2.903844e+02
   94   64328        2.742000e+00    1.050000e-01    1.006000e+01    2.277900e+02    2.076900e+02    4.238996e+01
   95   64328        2.792000e+00    1.750000e-02    3.910000e+00    9.706000e+01    1.059000e+01    1.336254e+02
   96   64328        3.181000e+00    1.040000e-02    2.540000e+00    4.739000e+01    1.869600e+02    3.389000e+02
   97   64328        2.631000e+00    1.450000e-01    3.360000e+00    2.015200e+02    3.028700e+02    3.266132e+02
   98   64328        2.977000e+00    1.560000e-02    1.008000e+01    1.564600e+02    3.227000e+02    3.143349e+02
   99   64328        2.647000e+00    1.457000e-01    5.880000e+00    2.922500e+02    1.921800e+02    3.282859e+02
  100   64328        2.388000e+00    1.114000e-01    3.200000e+00    1.293400e+02    6.099000e+01    1.575095e+02
  101   64328        3.057000e+00    6.880000e-02    3.990000e+00    1.311000e+01    3.270000e+01    1.616832e+02
  102   64328        2.337000e+00    1.060000e-01    2.890000e+00    1.677200e+02    2.216600e+02    2.378825e+02
  103   64328        2.399000e+00    1.447000e-01    3.230000e+00    6.814000e+01    1.345500e+02    3.089512e+02
  104   64328        3.002000e+00    3.143000e-01    6.590000e+00    3.327400e+02    9.386000e+01    1.864417e+01
  105   64328        2.747000e+00    2.309000e-01    9.880000e+00    6.052000e+01    3.496100e+02    1.512676e+02
  106   64328        3.037000e+00    9.770000e-02    7.500000e+00    1.712000e+02    6.290000e+01    1.519647e+02
  107   64328        2.928000e+00    4.970000e-02    7.410000e+00    1.062100e+02    2.160300e+02    2.321960e+02
  108   64328        2.662000e+00    1.635000e-01    1.133000e+01    1.821100e+02    2.633000e+02    3.909239e+00
  109   64328        3.171000e+00    2.749000e-01    1.647000e+01    1.672500e+02    1.898200e+02    1.898439e+02
  110   64328        2.699000e+00    3.246000e-01    1.334000e+01    2.286900e+02    1.190500e+02    1.039624e+02
  111   64328        2.556000e+00    1.409000e-01    1.278000e+01    2.923800e+02    3.286500e+02    8.766713e+01
  112   64328        3.227000e+00    3.380000e-02    1.385000e+01    2.800000e+02    2.075000e+01    3.102305e+02
  113   64328        2.769000e+00    1.674000e-01    9.320000e+00    8.651000e+01    3.174000e+02    2.542489e+02
  114   64328        2.675000e+00    1.201000e-01    6.380000e+00    9.569000e+01    2.594100e+02    1.038179e+02
  115   64328        3.192000e+00    1.382000e-01    6.920000e+00    7.475000e+01    2.386000e+02    3.292734e+01
  116   64328        1.871000e+00    7.440000e-02    1.988000e+01    2.425100e+02    2.785900e+02    3.349926e+02
  117   64328        2.617000e+00    2.631000e-01    4.800000e+00    5.593000e+01    2.776600e+02    2.661261e+02
  118   64328        3.184000e+00    2.937000e-01    2.810000e+01    2.622000e+01    9.938000e+01    1.127185e+02
  119   64328        3.135000e+00    1.366000e-01    2.882000e+01    1.537900e+02    3.517400e+02    2.028765e+02
  120   64328        2.924000e+00    7.200000e-02    1.041000e+01    2.243500e+02    2.175100e+02    5.872443e+01
  121   64328        2.780000e+00    2.220000e-01    9.150000e+00    3.210000e+02    3.399800e+02    2.562760e+02
  122   64328        3.136000e+00    2.603000e-01    1.497000e+01    3.074000e+01    2.850200e+02    2.458420e+02
  123   64328        2.907000e+00    1.984000e-01    7.730000e+00    6.021000e+01    2.289400e+02    3.395755e+02
  124   64328        2.539000e+00    1.360000e-01    2.524000e+01    2.457100e+02    2.685200e+02    1.038340e+02
  125   64328        3.093000e+00    8.650000e-02    1.075000e+01    2.219300e+02    1.776000e+02    2.865583e+02
  126   64328        3.048000e+00    2.169000e-01    1.210000e+01    1.633700e+02    2.747200e+02    8.294409e+01
  127   64328        2.324000e+00    6.780000e-02    5.730000e+00    9.540000e+00    2.377500e+02    6.678608e+00
  128   64328        3.186000e+00    8.510000e-02    4.270000e+00    2.376400e+02    1.900000e+02    1.883890e+02
  129   64328        2.591000e+00    8.050000e-02    3.600000e+00    2.163600e+02    3.460900e+02    2.480231e+02
  130   64328        2.604000e+00    2.141000e-01    1.593000e+01    1.231200e+02    4.940000e+01    1.630299e+02
  131   64328        3.060000e+00    1.359000e-01    1.250000e+00    1.322600e+02    7.893000e+01    1.290056e+02
  132   64328        2.251000e+00    9.090000e-02    3.720000e+00    8.019000e+01    9.338000e+01    1.019794e+02
  133   64328        2.956000e+00    1.116000e-01    4.230000e+00    1.010500e+02    2.399300e+02    2.822900e+02
  134   64328        2.287000e+00    9.420000e-02    4.300000e+00    2.776300e+02    1.466800e+02    9.928105e+01
  135   64328        3.120000e+00    7.690000e-02    1.626000e+01    9.510000e+01    2.896700e+02    1.273915e+02
  136   64328        3.160000e+00    2.373000e-01    2.617000e+01    2.128700e+02    2.568800e+02    1.834843e+02
  137   64328        2.441000e+00    1.700000e-01    1.104000e+01    1.028100e+02    5.004000e+01    2.475966e+02
  138   64328        3.149000e+00    1.342000e-01    1.976000e+01    1.860500e+02    7.236000e+01    1.958608e+02
  139   64328        2.998000e+00    1.338000e-01    1.249000e+01    2.000300e+02    2.725200e+02    4.350192e+01
  140   64328        2.543000e+00    2.676000e-01    2.060000e+01    7.928000e+01    3.980000e+00    1.234423e+02
  141   64328        2.530000e+00    1.124000e-01    1.211000e+01    1.592100e+02    3.519300e+02    2.253953e+02
  142   64328        3.142000e+00    9.330000e-02    1.372000e+01    6.349000e+01    3.137000e+01    1.778512e+02
  143   64328        2.532000e+00    1.941000e-01    1.694000e+01    1.954600e+02    2.054400e+02    2.702816e+02
  144   64328        3.083000e+00    1.717000e-01    1.508000e+01    3.327600e+02    2.375300e+02    1.864732e+02
  145   64328        3.142000e+00    6.260000e-02    2.420000e+01    1.854800e+02    2.053900e+02    3.077312e+02
  146   64328        2.534000e+00    1.765000e-01    1.374000e+01    1.057100e+02    2.973300e+02    3.447605e+02
  147   64328        2.804000e+00    6.760000e-02    6.420000e+00    3.439700e+02    2.161800e+02    1.879611e+02
  148   64328        2.287000e+00    7.710000e-02    6.300000e-01    1.113900e+02    1.629900e+02    2.449310e+02
  149   64328        2.591000e+00    1.541000e-01    2.888000e+01    2.511300e+02    8.322000e+01    7.006306e+01
  150   64328        2.526000e+00    1.583000e-01    1.614000e+01    5.781000e+01    3.711000e+01    5.720055e+01
  151   64328        3.077000e+00    1.175000e-01    7.840000e+00    3.311200e+02    3.563900e+02    1.229558e+02
  152   64328        2.464000e+00    2.073000e-01    1.253000e+01    1.374900e+02    2.622400e+02    2.074502e+02
  153   64328        3.127000e+00    5.900000e-02    6.820000e+00    1.983200e+02    1.339700e+02    1.855387e+01
  154   64328        2.643000e+00    7.680000e-02    1.026000e+01    7.980000e+01    2.378400e+02    1.308393e+02
  155   64328        3.142000e+00    1.184000e-01    8.100000e+00    3.446700e+02    3.994000e+01    1.254112e+02
  156   64328        3.084000e+00    4.830000e-02    9.360000e+00    4.233000e+01    6.708000e+01    2.953122e+02
  157   64328        2.609000e+00    1.619000e-01    1.772000e+01    1.385000e+02    8.370000e+00    1.220483e+02
  158   64328        2.690000e+00    1.161000e-01    1.409000e+01    8.763000e+01    3.647000e+01    1.769477e+02
  159   64328        2.639000e+00    2.197000e-01    2.900000e+00    2.361600e+02    9.595000e+01    2.155416e+02
  160   64328        3.099000e+00    8.650000e-02    9.660000e+00    2.582500e+02    6.619000e+01    1.720668e+02
  161   64328        1.905000e+00    6.460000e-02    2.138000e+01    1.985100e+02    2.423000e+02    6.114678e+01
  162   64328        2.285000e+00    1.396000e-01    7.410000e+00    1.059700e+02    3.571900e+02    2.173155e+02
  163   64328        2.388000e+00    1.762000e-01    5.410000e+00    4.756000e+01    9.165000e+01    2.113895e+02
  164   64328        2.449000e+00    6.050000e-02    1.185000e+01    1.613800e+02    7.398000e+01    1.962273e+02
  165   64328        2.318000e+00    1.341000e-01    7.030000e+00    2.745000e+01    3.110000e+02    2.100626e+02
  166   64328        2.374000e+00    1.451000e-01    3.010000e+00    1.297900e+02    3.042700e+02    2.538331e+02
  167   64328        1.961000e+00    3.180000e-02    2.309000e+01    6.520000e+01    2.371700e+02    9.346243e+01
  168   64328        3.174000e+00    4.080000e-02    7.930000e+00    2.921600e+02    2.658000e+02    2.899137e+02
  169   64328        3.059000e+00    8.620000e-02    7.880000e+00    3.036600e+02    5.300000e-01    1.457845e+02
  170   64328        1.993000e+00    6.050000e-02    1.904000e+01    1.495000e+01    2.005100e+02    6.669315e+00
  171   64328        3.125000e+00    1.742000e-01    1.703000e+01    1.328300e+02    7.160000e+01    1.820688e+02
  172   64328        2.938000e+00    1.608000e-01    9.210000e+00    2.476500e+02    1.440900e+02    6.619216e+01
  173   64328        3.013000e+00    4.500000e-02    9.010000e+00    2.226900e+02    2.738600e+02    9.118974e+01
  174   64328        3.097000e+00    1.695000e-01    1.742000e+01    2.027200e+02    6.649000e+01    1.123193e+02
  175   64328        3.139000e+00    1.658000e-01    1.409000e+01    2.466900e+02    7.505000e+01    1.528102e+02
  176   64328        3.102000e+00    3.075000e-01    7.560000e+00    1.467800e+02    2.357200e+02    2.641803e+02
  177   64328        2.983000e+00    1.127000e-01    1.025000e+01    8.531000e+01    3.204100e+02    1.877948e+02
  178   64328        3.083000e+00    8.990000e-02    1.004000e+01    8.310000e+00    1.108000e+01    3.073532e+02
  179   64328        1.242000e+00    1.675000e-01    2.319000e+01    3.043100e+02    3.235200e+02    1.702547e+01
  180   64328        3.149000e+00    6.860000e-02    1.024000e+01    4.370000e+00    2.842200e+02    2.954081e+01
  181   64328        3.194000e+00    1.926000e-01    6.080000e+00    7.240000e+01    1.503200e+02    1.447624e+02
  182   64328        3.213000e+00    5.310000e-02    1.219000e+01    2.159400e+02    1.299000e+02    8.337776e+01
  183   64328        2.924000e+00    1.874000e-01    1.140000e+00    2.118000e+01    9.190000e+00    6.970443e+01
  184   64328        3.181000e+00    2.033000e-01    2.934000e+01    1.163000e+01    1.794000e+01    2.001100e+02
  185   64328        2.253000e+00    1.629000e-01    2.180000e+00    2.182400e+02    1.534500e+02    2.347802e+02
  186   64328        3.158000e+00    9.560000e-02    1.051000e+01    1.411800e+02    2.806100e+02    2.664892e+02
  187   64328        2.220000e+00    1.915000e-01    4.820000e+00    2.970500e+02    5.425000e+01    1.112846e+02
  188   64328        3.029000e+00    1.198000e-01    4.830000e+00    2.327700e+02    8.365000e+01    2.756975e+02
  189   64328        3.159000e+00    8.410000e-02    2.498000e+01    2.365600e+02    3.353400e+02    1.463016e+02
  190   64328        2.443000e+00    1.103000e-01    1.114000e+01    1.319500e+02    3.050300e+02    1.700599e+02
  191   64328        3.170000e+00    9.610000e-02    1.026000e+01    6.631000e+01    2.721300e+02    8.833795e+01
  192   64328        2.289000e+00    1.335000e-01    4.070000e+00    2.256200e+02    1.111000e+01    1.109103e+02
  193   64328        2.570000e+00    2.071000e-01    5.480000e+00    1.296800e+02    1.232200e+02    2.428538e+01
  194   64328        2.848000e+00    8.870000e-02    1.130000e+01    2.328700e+02    2.851500e+02    1.668098e+02
  195   64328        3.178000e+00    8.950000e-02    5.260000e+00    1.570100e+02    2.744000e+01    7.147411e+01
  196   64328        3.068000e+00    6.240000e-02    9.870000e+00    8.758000e+01    4.123000e+01    2.826867e+02
  197   64328        1.140000e+00    1.035000e-01    1.990000e+00    2.138800e+02    1.351800e+02    9.012288e+01
  198   64328        3.168000e+00    2.506000e-01    2.568000e+01    2.439600e+02    1.223800e+02    1.106669e+02
  199   64328        3.211000e+00    5.400000e-02    1.450000e+01    3.146300e+02    9.249000e+01    3.571818e+02
  200   64328        3.186000e+00    1.840000e-01    2.414000e+01    3.318400e+02    1.385600e+02    1.638990e+02
  201   64328        3.225000e+00    1.439000e-01    8.430000e+00    8.374000e+01    6.930000e+00    1.582677e+01
  202   64328        2.376000e+00    1.766000e-01    1.970000e+00    2.233100e+02    1.629200e+02    3.293029e+02
  203   64328        2.546000e+00    9.370000e-02    9.540000e+00    1.770500e+02    3.567600e+02    9.997752e+00
  204   64328        3.129000e+00    2.288000e-01    1.564000e+01    3.167100e+02    2.195700e+02    8.833019e+01
  205   64328        3.154000e+00    8.900000e-02    1.806000e+01    3.447500e+02    2.017700e+02    1.087725e+02
  206   64328        2.476000e+00    1.230000e-01    1.273000e+01    1.349900e+02    4.440000e+00    2.360921e+02
  207   64328        2.543000e+00    8.760000e-02    7.200000e+00    1.268200e+02    1.533200e+02    1.981423e+02
  208   64328        3.097000e+00    9.830000e-02    1.676000e+01    2.553000e+02    3.336500e+02    4.628931e+01
  209   64328        2.711000e+00    3.890000e-02    4.370000e+00    2.508600e+02    1.781500e+02    2.236971e+02
  210   64328        3.102000e+00    1.818000e-01    2.718000e+01    8.432000e+01    1.092400e+02    1.905003e+02
  211   64328        2.531000e+00    1.360000e-01    1.345000e+01    1.012000e+02    3.500900e+02    1.964481e+02
  212   64328        3.127000e+00    1.257000e-01    1.384000e+01    2.709200e+02    1.097100e+02    1.532439e+02
  213   64328        3.083000e+00    1.214000e-01    1.529000e+01    2.522600e+02    1.027800e+02    1.489832e+02
  214   64328        2.931000e+00    8.580000e-02    3.100000e+00    1.277100e+02    2.447600e+02    1.563388e+02
  215   64328        3.085000e+00    1.855000e-01    1.145000e+01    2.049000e+01    3.536100e+02    2.564916e+02
  216   64328        3.000000e+00    1.436000e-01    1.020000e+01    1.111500e+02    2.614800e+02    2.448723e+02
  217   64328        2.535000e+00    2.126000e-01    1.378000e+01    1.014600e+02    3.411700e+02    9.324588e+01
  218   64328        3.064000e+00    6.790000e-02    8.230000e+00    2.986500e+02    5.844000e+01    1.426935e+02
  219   64328        3.112000e+00    3.900000e-02    8.900000e+00    2.604500e+02    2.412000e+02    3.186179e+00
  220   64328        2.640000e+00    2.574000e-01    5.750000e+00    2.868100e+02    1.018900e+02    8.070201e+00
  221   64328        2.937000e+00    1.040000e-01    1.108000e+01    9.956000e+01    1.611200e+02    3.135048e+02
  222   64328        3.104000e+00    1.588000e-01    2.970000e+00    1.156900e+02    1.462100e+02    1.213510e+02
  223   64328        3.138000e+00    5.800000e-02    1.542000e+01    3.587300e+02    9.574000e+01    1.824338e+02
  224   64328        3.024000e+00    2.970000e-02    9.860000e+00    2.178000e+01    1.740100e+02    1.257880e+02
  225   64328        2.776000e+00    1.774000e-01    1.008000e+01    1.654400e+02    2.179300e+02    9.861776e+01
  226   64328        3.137000e+00    3.460000e-02    7.890000e+00    2.621000e+02    1.295100e+02    1.860878e+02
  227   64328        2.412000e+00    1.459000e-01    1.560000e+00    3.134800e+02    2.417400e+02    2.529342e+02
  228   64328        2.807000e+00    1.169000e-01    1.353000e+01    1.147600e+02    2.302300e+02    3.371477e+02
  229   64328        2.536000e+00    5.970000e-02    1.414000e+01    1.215900e+02    4.166000e+01    1.964619e+02
  230   64328        2.351000e+00    1.618000e-01    4.290000e+00    3.215500e+02    1.992900e+02    1.082311e+02
  231   64328        2.977000e+00    9.040000e-02    1.011000e+01    2.487500e+02    1.607400e+02    1.881249e+02
  232   64328        2.262000e+00    6.750000e-02    3.870000e+00    5.883000e+01    3.528000e+01    3.462020e+02
  233   64328        2.296000e+00    1.137000e-01    4.710000e+00    1.184400e+02    8.490000e+01    5.761144e+01
  234   64328        3.455000e+00    6.670000e-02    9.530000e+00    1.233000e+01    2.883900e+02    3.216858e+02
  235   64328        2.571000e+00    1.269000e-01    1.371000e+01    2.755100e+02    7.502000e+01    9.949346e+01
  236   64328        2.240000e+00    1.557000e-01    4.630000e+00    3.577300e+02    2.883700e+02    2.284515e+01
  237   64328        2.384000e+00    2.519000e-01    1.063000e+01    2.584900e+02    6.005000e+01    1.628445e+02
  238   64328        2.445000e+00    2.771000e-01    2.279000e+01    3.378900e+02    1.235000e+02    1.017661e+02
  239   64328        3.118000e+00    8.900000e-02    1.530000e+00    2.437500e+02    3.632000e+01    1.263908e+02
  240   64328        3.092000e+00    2.665000e-01    1.844000e+01    4.165000e+01    2.973600e+02    1.102863e+02
  241   64328        1.987000e+00    3.304000e-01    2.680000e+01    2.157100e+02    9.764000e+01    3.058792e+02
  242   64328        3.028000e+00    1.022000e-01    9.670000e+00    3.276800e+02    3.129000e+01    3.200869e+02
  243   64328        3.155000e+00    2.256000e-01    2.670000e+00    3.089400e+02    2.712500e+02    1.791637e+02
  244   64328        2.599000e+00    1.536000e-01    1.383000e+01    1.962200e+02    8.249000e+01    2.040062e+02
  245   64328        2.616000e+00    1.703000e-01    3.690000e+00    6.241000e+01    1.856700e+02    2.503906e+02
  246   64328        3.114000e+00    1.222000e-01    1.150000e+00    1.553200e+02    6.242000e+01    2.200314e+01
  247   64328        3.012000e+00    9.420000e-02    1.121000e+01    1.107900e+02    2.265700e+02    5.124740e+00
  248   64328        2.541000e+00    1.484000e-01    3.760000e+00    1.493100e+02    1.308300e+02    6.547184e+01
  249   64328        2.454000e+00    1.826000e-01    1.442000e+01    1.857700e+02    1.281000e+02    2.886603e+02
  250   64328        3.215000e+00    1.047000e-01    6.830000e+00    3.917000e+01    6.388000e+01    1.471648e+02
  251   64328        3.110000e+00    7.640000e-02    1.056000e+01    1.278500e+02    2.753600e+02    1.448505e+02
  252   64328        2.255000e+00    6.970000e-02    4.840000e+00    5.583000e+01    8.669000e+01    2.875249e+02
  253   64328        3.170000e+00    4.860000e-02    1.473000e+01    2.110500e+02    1.342500e+02    4.107795e+01
  254   64328        3.011000e+00    2.940000e-02    8.440000e+00    2.861900e+02    3.531100e+02    1.850301e+02
  255   64328        2.350000e+00    1.682000e-01    8.880000e+00    2.483600e+02    1.939700e+02    1.910614e+02
  256   64328        2.802000e+00    6.090000e-02    1.690000e+00    1.145100e+02    1.970500e+02    6.896891e+01
  257   64328        3.086000e+00    1.278000e-01    3.590000e+00    3.227400e+02    2.950500e+02    1.136313e+02
